id,name,category,value,memo
199,item_000199,A,298,memo_000199
200,item_000200,B,299,memo_000200
201,item_000201,C,300,memo_000201
202,item_000202,A,301,memo_000202
203,item_000203,B,302,memo_000203
204,item_000204,C,303,memo_000204
205,item_000205,A,304,memo_000205
206,item_000206,B,305,memo_000206
207,item_000207,C,306,memo_000207
208,item_000208,A,307,memo_000208
209,item_000209,B,308,memo_000209
210,item_000210,C,309,memo_000210
211,item_000211,A,310,memo_000211
212,item_000212,B,311,memo_000212
213,item_000213,C,312,memo_000213
214,item_000214,A,313,memo_000214
215,item_000215,B,314,memo_000215
216,item_000216,C,315,memo_000216
217,item_000217,A,316,memo_000217
218,item_000218,B,317,memo_000218
219,item_000219,C,318,memo_000219
220,item_000220,A,319,memo_000220
221,item_000221,B,320,memo_000221
222,item_000222,C,321,memo_000222
223,item_000223,A,322,memo_000223
224,item_000224,B,323,memo_000224
225,item_000225,C,324,memo_000225
226,item_000226,A,325,memo_000226
227,item_000227,B,326,memo_000227
228,item_000228,C,327,memo_000228
229,item_000229,A,328,memo_000229
230,item_000230,B,329,memo_000230
231,item_000231,C,330,memo_000231
232,item_000232,A,331,memo_000232
233,item_000233,B,332,memo_000233
234,item_000234,C,333,memo_000234
235,item_000235,A,334,memo_000235
236,item_000236,B,335,memo_000236
237,item_000237,C,336,memo_000237
238,item_000238,A,337,memo_000238
239,item_000239,B,338,memo_000239
240,item_000240,C,339,memo_000240
241,item_000241,A,340,memo_000241
242,item_000242,B,341,memo_000242
243,item_000243,C,342,memo_000243
244,item_000244,A,343,memo_000244
245,item_000245,B,344,memo_000245
246,item_000246,C,345,memo_000246
247,item_000247,A,346,memo_000247
248,item_000248,B,347,memo_000248
249,item_000249,C,348,memo_000249
250,item_000250,A,349,memo_000250
251,item_000251,B,350,memo_000251
252,item_000252,C,351,memo_000252
253,item_000253,A,352,memo_000253
254,item_000254,B,353,memo_000254
255,item_000255,C,354,memo_000255
256,item_000256,A,355,memo_000256
257,item_000257,B,356,memo_000257
258,item_000258,C,357,memo_000258
259,item_000259,A,358,memo_000259
260,item_000260,B,359,memo_000260
261,item_000261,C,360,memo_000261
262,item_000262,A,361,memo_000262
263,item_000263,B,362,memo_000263
264,item_000264,C,363,memo_000264
265,item_000265,A,364,memo_000265
266,item_000266,B,365,memo_000266
267,item_000267,C,366,memo_000267
268,item_000268,A,367,memo_000268
269,item_000269,B,368,memo_000269
270,item_000270,C,369,memo_000270
271,item_000271,A,370,memo_000271
272,item_000272,B,371,memo_000272
273,item_000273,C,372,memo_000273
274,item_000274,A,373,memo_000274
275,item_000275,B,374,memo_000275
276,item_000276,C,375,memo_000276
277,item_000277,A,376,memo_000277
278,item_000278,B,377,memo_000278
279,item_000279,C,378,memo_000279
280,item_000280,A,379,memo_000280
281,item_000281,B,380,memo_000281
282,item_000282,C,381,memo_000282
283,item_000283,A,382,memo_000283
284,item_000284,B,383,memo_000284
285,item_000285,C,384,memo_000285
286,item_000286,A,385,memo_000286
287,item_000287,B,386,memo_000287
288,item_000288,C,387,memo_000288
289,item_000289,A,388,memo_000289
290,item_000290,B,389,memo_000290
291,item_000291,C,390,memo_000291
292,item_000292,A,391,memo_000292
293,item_000293,B,392,memo_000293
294,item_000294,C,393,memo_000294
295,item_000295,A,394,memo_000295
296,item_000296,B,395,memo_000296
297,item_000297,C,396,memo_000297
298,item_000298,A,397,memo_000298
299,item_000299,B,398,memo_000299
300,item_000300,C,399,memo_000300
301,item_000301,A,400,memo_000301
302,item_000302,B,401,memo_000302
303,item_000303,C,402,memo_000303
304,item_000304,A,403,memo_000304
305,item_000305,B,404,memo_000305
306,item_000306,C,405,memo_000306
307,item_000307,A,406,memo_000307
308,item_000308,B,407,memo_000308
309,item_000309,C,408,memo_000309
310,item_000310,A,409,memo_000310
311,item_000311,B,410,memo_000311
312,item_000312,C,411,memo_000312
313,item_000313,A,412,memo_000313
314,item_000314,B,413,memo_000314
315,item_000315,C,414,memo_000315
316,item_000316,A,415,memo_000316
317,item_000317,B,416,memo_000317
318,item_000318,C,417,memo_000318
319,item_000319,A,418,memo_000319
320,item_000320,B,419,memo_000320
321,item_000321,C,420,memo_000321
322,item_000322,A,421,memo_000322
323,item_000323,B,422,memo_000323
324,item_000324,C,423,memo_000324
325,item_000325,A,424,memo_000325
326,item_000326,B,425,memo_000326
327,item_000327,C,426,memo_000327
328,item_000328,A,427,memo_000328
329,item_000329,B,428,memo_000329
330,item_000330,C,429,memo_000330
331,item_000331,A,430,memo_000331
332,item_000332,B,431,memo_000332
333,item_000333,C,432,memo_000333
334,item_000334,A,433,memo_000334
335,item_000335,B,434,memo_000335
336,item_000336,C,435,memo_000336
337,item_000337,A,436,memo_000337
338,item_000338,B,437,memo_000338
339,item_000339,C,438,memo_000339
340,item_000340,A,439,memo_000340
341,item_000341,B,440,memo_000341
342,item_000342,C,441,memo_000342
343,item_000343,A,442,memo_000343
344,item_000344,B,443,memo_000344
345,item_000345,C,444,memo_000345
346,item_000346,A,445,memo_000346
347,item_000347,B,446,memo_000347
348,item_000348,C,447,memo_000348
349,item_000349,A,448,memo_000349
350,item_000350,B,449,memo_000350
351,item_000351,C,450,memo_000351
352,item_000352,A,451,memo_000352
353,item_000353,B,452,memo_000353
354,item_000354,C,453,memo_000354
355,item_000355,A,454,memo_000355
356,item_000356,B,455,memo_000356
357,item_000357,C,456,memo_000357
358,item_000358,A,457,memo_000358
359,item_000359,B,458,memo_000359
360,item_000360,C,459,memo_000360
361,item_000361,A,460,memo_000361
362,item_000362,B,461,memo_000362
363,item_000363,C,462,memo_000363
364,item_000364,A,463,memo_000364
365,item_000365,B,464,memo_000365
366,item_000366,C,465,memo_000366
367,item_000367,A,466,memo_000367
368,item_000368,B,467,memo_000368
369,item_000369,C,468,memo_000369
370,item_000370,A,469,memo_000370
371,item_000371,B,470,memo_000371
372,item_000372,C,471,memo_000372
373,item_000373,A,472,memo_000373
374,item_000374,B,473,memo_000374
375,item_000375,C,474,memo_000375
376,item_000376,A,475,memo_000376
377,item_000377,B,476,memo_000377
378,item_000378,C,477,memo_000378
379,item_000379,A,478,memo_000379
380,item_000380,B,479,memo_000380
381,item_000381,C,480,memo_000381
382,item_000382,A,481,memo_000382
383,item_000383,B,482,memo_000383
384,item_000384,C,483,memo_000384
385,item_000385,A,484,memo_000385
386,item_000386,B,485,memo_000386
387,item_000387,C,486,memo_000387
388,item_000388,A,487,memo_000388
389,item_000389,B,488,memo_000389
390,item_000390,C,489,memo_000390
391,item_000391,A,490,memo_000391
392,item_000392,B,491,memo_000392
393,item_000393,C,492,memo_000393
394,item_000394,A,493,memo_000394
395,item_000395,B,494,memo_000395
396,item_000396,C,495,memo_000396
397,item_000397,A,496,memo_000397
398,item_000398,B,497,memo_000398
399,item_000399,C,498,memo_000399
400,item_000400,A,499,memo_000400
401,item_000401,B,500,memo_000401
402,item_000402,C,501,memo_000402
403,item_000403,A,502,memo_000403
404,item_000404,B,503,memo_000404
405,item_000405,C,504,memo_000405
406,item_000406,A,505,memo_000406
407,item_000407,B,506,memo_000407
408,item_000408,C,507,memo_000408
409,item_000409,A,508,memo_000409
410,item_000410,B,509,memo_000410
411,item_000411,C,510,memo_000411
412,item_000412,A,511,memo_000412
413,item_000413,B,512,memo_000413
414,item_000414,C,513,memo_000414
415,item_000415,A,514,memo_000415
416,item_000416,B,515,memo_000416
417,item_000417,C,516,memo_000417
418,item_000418,A,517,memo_000418
419,item_000419,B,518,memo_000419
420,item_000420,C,519,memo_000420
421,item_000421,A,520,memo_000421
422,item_000422,B,521,memo_000422
423,item_000423,C,522,memo_000423
424,item_000424,A,523,memo_000424
425,item_000425,B,524,memo_000425
426,item_000426,C,525,memo_000426
427,item_000427,A,526,memo_000427
428,item_000428,B,527,memo_000428
429,item_000429,C,528,memo_000429
430,item_000430,A,529,memo_000430
431,item_000431,B,530,memo_000431
432,item_000432,C,531,memo_000432
433,item_000433,A,532,memo_000433
434,item_000434,B,533,memo_000434
435,item_000435,C,534,memo_000435
436,item_000436,A,535,memo_000436
437,item_000437,B,536,memo_000437
438,item_000438,C,537,memo_000438
439,item_000439,A,538,memo_000439
440,item_000440,B,539,memo_000440
441,item_000441,C,540,memo_000441
442,item_000442,A,541,memo_000442
443,item_000443,B,542,memo_000443
444,item_000444,C,543,memo_000444
445,item_000445,A,544,memo_000445
446,item_000446,B,545,memo_000446
447,item_000447,C,546,memo_000447
448,item_000448,A,547,memo_000448
449,item_000449,B,548,memo_000449
450,item_000450,C,549,memo_000450
451,item_000451,A,550,memo_000451
452,item_000452,B,551,memo_000452
453,item_000453,C,552,memo_000453
454,item_000454,A,553,memo_000454
455,item_000455,B,554,memo_000455
456,item_000456,C,555,memo_000456
457,item_000457,A,556,memo_000457
458,item_000458,B,557,memo_000458
459,item_000459,C,558,memo_000459
460,item_000460,A,559,memo_000460
461,item_000461,B,560,memo_000461
462,item_000462,C,561,memo_000462
463,item_000463,A,562,memo_000463
464,item_000464,B,563,memo_000464
465,item_000465,C,564,memo_000465
466,item_000466,A,565,memo_000466
467,item_000467,B,566,memo_000467
468,item_000468,C,567,memo_000468
469,item_000469,A,568,memo_000469
470,item_000470,B,569,memo_000470
471,item_000471,C,570,memo_000471
472,item_000472,A,571,memo_000472
473,item_000473,B,572,memo_000473
474,item_000474,C,573,memo_000474
475,item_000475,A,574,memo_000475
476,item_000476,B,575,memo_000476
477,item_000477,C,576,memo_000477
478,item_000478,A,577,memo_000478
479,item_000479,B,578,memo_000479
480,item_000480,C,579,memo_000480
481,item_000481,A,580,memo_000481
482,item_000482,B,581,memo_000482
483,item_000483,C,582,memo_000483
484,item_000484,A,583,memo_000484
485,item_000485,B,584,memo_000485
486,item_000486,C,585,memo_000486
487,item_000487,A,586,memo_000487
488,item_000488,B,587,memo_000488
489,item_000489,C,588,memo_000489
490,item_000490,A,589,memo_000490
491,item_000491,B,590,memo_000491
492,item_000492,C,591,memo_000492
493,item_000493,A,592,memo_000493
494,item_000494,B,593,memo_000494
495,item_000495,C,594,memo_000495
496,item_000496,A,595,memo_000496
497,item_000497,B,596,memo_000497
498,item_000498,C,597,memo_000498
499,item_000499,A,598,memo_000499
500,item_000500,B,599,memo_000500
501,item_000501,C,600,memo_000501
502,item_000502,A,601,memo_000502
503,item_000503,B,602,memo_000503
504,item_000504,C,603,memo_000504
505,item_000505,A,604,memo_000505
506,item_000506,B,605,memo_000506
507,item_000507,C,606,memo_000507
508,item_000508,A,607,memo_000508
509,item_000509,B,608,memo_000509
510,item_000510,C,609,memo_000510
511,item_000511,A,610,memo_000511
512,item_000512,B,611,memo_000512
513,item_000513,C,612,memo_000513
514,item_000514,A,613,memo_000514
515,item_000515,B,614,memo_000515
516,item_000516,C,615,memo_000516
517,item_000517,A,616,memo_000517
518,item_000518,B,617,memo_000518
519,item_000519,C,618,memo_000519
520,item_000520,A,619,memo_000520
521,item_000521,B,620,memo_000521
522,item_000522,C,621,memo_000522
523,item_000523,A,622,memo_000523
524,item_000524,B,623,memo_000524
525,item_000525,C,624,memo_000525
526,item_000526,A,625,memo_000526
527,item_000527,B,626,memo_000527
528,item_000528,C,627,memo_000528
529,item_000529,A,628,memo_000529
530,item_000530,B,629,memo_000530
531,item_000531,C,630,memo_000531
532,item_000532,A,631,memo_000532
533,item_000533,B,632,memo_000533
534,item_000534,C,633,memo_000534
535,item_000535,A,634,memo_000535
536,item_000536,B,635,memo_000536
537,item_000537,C,636,memo_000537
538,item_000538,A,637,memo_000538
539,item_000539,B,638,memo_000539
540,item_000540,C,639,memo_000540
541,item_000541,A,640,memo_000541
542,item_000542,B,641,memo_000542
543,item_000543,C,642,memo_000543
544,item_000544,A,643,memo_000544
545,item_000545,B,644,memo_000545
546,item_000546,C,645,memo_000546
547,item_000547,A,646,memo_000547
548,item_000548,B,647,memo_000548
549,item_000549,C,648,memo_000549
550,item_000550,A,649,memo_000550
551,item_000551,B,650,memo_000551
552,item_000552,C,651,memo_000552
553,item_000553,A,652,memo_000553
554,item_000554,B,653,memo_000554
555,item_000555,C,654,memo_000555
556,item_000556,A,655,memo_000556
557,item_000557,B,656,memo_000557
558,item_000558,C,657,memo_000558
559,item_000559,A,658,memo_000559
560,item_000560,B,659,memo_000560
561,item_000561,C,660,memo_000561
562,item_000562,A,661,memo_000562
563,item_000563,B,662,memo_000563
564,item_000564,C,663,memo_000564
565,item_000565,A,664,memo_000565
566,item_000566,B,665,memo_000566
567,item_000567,C,666,memo_000567
568,item_000568,A,667,memo_000568
569,item_000569,B,668,memo_000569
570,item_000570,C,669,memo_000570
571,item_000571,A,670,memo_000571
572,item_000572,B,671,memo_000572
573,item_000573,C,672,memo_000573
574,item_000574,A,673,memo_000574
575,item_000575,B,674,memo_000575
576,item_000576,C,675,memo_000576
577,item_000577,A,676,memo_000577
578,item_000578,B,677,memo_000578
579,item_000579,C,678,memo_000579
580,item_000580,A,679,memo_000580
581,item_000581,B,680,memo_000581
582,item_000582,C,681,memo_000582
583,item_000583,A,682,memo_000583
584,item_000584,B,683,memo_000584
585,item_000585,C,684,memo_000585
586,item_000586,A,685,memo_000586
587,item_000587,B,686,memo_000587
588,item_000588,C,687,memo_000588
589,item_000589,A,688,memo_000589
590,item_000590,B,689,memo_000590
591,item_000591,C,690,memo_000591
592,item_000592,A,691,memo_000592
593,item_000593,B,692,memo_000593
594,item_000594,C,693,memo_000594
595,item_000595,A,694,memo_000595
596,item_000596,B,695,memo_000596
597,item_000597,C,696,memo_000597
598,item_000598,A,697,memo_000598
599,item_000599,B,698,memo_000599
600,item_000600,C,699,memo_000600
601,item_000601,A,700,memo_000601
602,item_000602,B,701,memo_000602
603,item_000603,C,702,memo_000603
604,item_000604,A,703,memo_000604
605,item_000605,B,704,memo_000605
606,item_000606,C,705,memo_000606
607,item_000607,A,706,memo_000607
608,item_000608,B,707,memo_000608
609,item_000609,C,708,memo_000609
610,item_000610,A,709,memo_000610
611,item_000611,B,710,memo_000611
612,item_000612,C,711,memo_000612
613,item_000613,A,712,memo_000613
614,item_000614,B,713,memo_000614
615,item_000615,C,714,memo_000615
616,item_000616,A,715,memo_000616
617,item_000617,B,716,memo_000617
618,item_000618,C,717,memo_000618
619,item_000619,A,718,memo_000619
620,item_000620,B,719,memo_000620
621,item_000621,C,720,memo_000621
622,item_000622,A,721,memo_000622
623,item_000623,B,722,memo_000623
624,item_000624,C,723,memo_000624
625,item_000625,A,724,memo_000625
626,item_000626,B,725,memo_000626
627,item_000627,C,726,memo_000627
628,item_000628,A,727,memo_000628
629,item_000629,B,728,memo_000629
630,item_000630,C,729,memo_000630
631,item_000631,A,730,memo_000631
632,item_000632,B,731,memo_000632
633,item_000633,C,732,memo_000633
634,item_000634,A,733,memo_000634
635,item_000635,B,734,memo_000635
636,item_000636,C,735,memo_000636
637,item_000637,A,736,memo_000637
638,item_000638,B,737,memo_000638
639,item_000639,C,738,memo_000639
640,item_000640,A,739,memo_000640
641,item_000641,B,740,memo_000641
642,item_000642,C,741,memo_000642
643,item_000643,A,742,memo_000643
644,item_000644,B,743,memo_000644
645,item_000645,C,744,memo_000645
646,item_000646,A,745,memo_000646
647,item_000647,B,746,memo_000647
648,item_000648,C,747,memo_000648
649,item_000649,A,748,memo_000649
650,item_000650,B,749,memo_000650
651,item_000651,C,750,memo_000651
652,item_000652,A,751,memo_000652
653,item_000653,B,752,memo_000653
654,item_000654,C,753,memo_000654
655,item_000655,A,754,memo_000655
656,item_000656,B,755,memo_000656
657,item_000657,C,756,memo_000657
658,item_000658,A,757,memo_000658
659,item_000659,B,758,memo_000659
660,item_000660,C,759,memo_000660
661,item_000661,A,760,memo_000661
662,item_000662,B,761,memo_000662
663,item_000663,C,762,memo_000663
664,item_000664,A,763,memo_000664
665,item_000665,B,764,memo_000665
666,item_000666,C,765,memo_000666
667,item_000667,A,766,memo_000667
668,item_000668,B,767,memo_000668
669,item_000669,C,768,memo_000669
670,item_000670,A,769,memo_000670
671,item_000671,B,770,memo_000671
672,item_000672,C,771,memo_000672
673,item_000673,A,772,memo_000673
674,item_000674,B,773,memo_000674
675,item_000675,C,774,memo_000675
676,item_000676,A,775,memo_000676
677,item_000677,B,776,memo_000677
678,item_000678,C,777,memo_000678
679,item_000679,A,778,memo_000679
680,item_000680,B,779,memo_000680
681,item_000681,C,780,memo_000681
682,item_000682,A,781,memo_000682
683,item_000683,B,782,memo_000683
684,item_000684,C,783,memo_000684
685,item_000685,A,784,memo_000685
686,item_000686,B,785,memo_000686
687,item_000687,C,786,memo_000687
688,item_000688,A,787,memo_000688
689,item_000689,B,788,memo_000689
690,item_000690,C,789,memo_000690
691,item_000691,A,790,memo_000691
692,item_000692,B,791,memo_000692
693,item_000693,C,792,memo_000693
694,item_000694,A,793,memo_000694
695,item_000695,B,794,memo_000695
696,item_000696,C,795,memo_000696
697,item_000697,A,796,memo_000697
698,item_000698,B,797,memo_000698
699,item_000699,C,798,memo_000699
700,item_000700,A,799,memo_000700
701,item_000701,B,800,memo_000701
702,item_000702,C,801,memo_000702
703,item_000703,A,802,memo_000703
704,item_000704,B,803,memo_000704
705,item_000705,C,804,memo_000705
706,item_000706,A,805,memo_000706
707,item_000707,B,806,memo_000707
708,item_000708,C,807,memo_000708
709,item_000709,A,808,memo_000709
710,item_000710,B,809,memo_000710
711,item_000711,C,810,memo_000711
712,item_000712,A,811,memo_000712
713,item_000713,B,812,memo_000713
714,item_000714,C,813,memo_000714
715,item_000715,A,814,memo_000715
716,item_000716,B,815,memo_000716
717,item_000717,C,816,memo_000717
718,item_000718,A,817,memo_000718
719,item_000719,B,818,memo_000719
720,item_000720,C,819,memo_000720
721,item_000721,A,820,memo_000721
722,item_000722,B,821,memo_000722
723,item_000723,C,822,memo_000723
724,item_000724,A,823,memo_000724
725,item_000725,B,824,memo_000725
726,item_000726,C,825,memo_000726
727,item_000727,A,826,memo_000727
728,item_000728,B,827,memo_000728
729,item_000729,C,828,memo_000729
730,item_000730,A,829,memo_000730
731,item_000731,B,830,memo_000731
732,item_000732,C,831,memo_000732
733,item_000733,A,832,memo_000733
734,item_000734,B,833,memo_000734
735,item_000735,C,834,memo_000735
736,item_000736,A,835,memo_000736
737,item_000737,B,836,memo_000737
738,item_000738,C,837,memo_000738
739,item_000739,A,838,memo_000739
740,item_000740,B,839,memo_000740
741,item_000741,C,840,memo_000741
742,item_000742,A,841,memo_000742
743,item_000743,B,842,memo_000743
744,item_000744,C,843,memo_000744
745,item_000745,A,844,memo_000745
746,item_000746,B,845,memo_000746
747,item_000747,C,846,memo_000747
748,item_000748,A,847,memo_000748
749,item_000749,B,848,memo_000749
750,item_000750,C,849,memo_000750
751,item_000751,A,850,memo_000751
752,item_000752,B,851,memo_000752
753,item_000753,C,852,memo_000753
754,item_000754,A,853,memo_000754
755,item_000755,B,854,memo_000755
756,item_000756,C,855,memo_000756
757,item_000757,A,856,memo_000757
758,item_000758,B,857,memo_000758
759,item_000759,C,858,memo_000759
760,item_000760,A,859,memo_000760
761,item_000761,B,860,memo_000761
762,item_000762,C,861,memo_000762
763,item_000763,A,862,memo_000763
764,item_000764,B,863,memo_000764
765,item_000765,C,864,memo_000765
766,item_000766,A,865,memo_000766
767,item_000767,B,866,memo_000767
768,item_000768,C,867,memo_000768
769,item_000769,A,868,memo_000769
770,item_000770,B,869,memo_000770
771,item_000771,C,870,memo_000771
772,item_000772,A,871,memo_000772
773,item_000773,B,872,memo_000773
774,item_000774,C,873,memo_000774
775,item_000775,A,874,memo_000775
776,item_000776,B,875,memo_000776
777,item_000777,C,876,memo_000777
778,item_000778,A,877,memo_000778
779,item_000779,B,878,memo_000779
780,item_000780,C,879,memo_000780
781,item_000781,A,880,memo_000781
782,item_000782,B,881,memo_000782
783,item_000783,C,882,memo_000783
784,item_000784,A,883,memo_000784
785,item_000785,B,884,memo_000785
786,item_000786,C,885,memo_000786
787,item_000787,A,886,memo_000787
788,item_000788,B,887,memo_000788
789,item_000789,C,888,memo_000789
790,item_000790,A,889,memo_000790
791,item_000791,B,890,memo_000791
792,item_000792,C,891,memo_000792
793,item_000793,A,892,memo_000793
794,item_000794,B,893,memo_000794
795,item_000795,C,894,memo_000795
796,item_000796,A,895,memo_000796
797,item_000797,B,896,memo_000797
798,item_000798,C,897,memo_000798
799,item_000799,A,898,memo_000799
800,item_000800,B,899,memo_000800
801,item_000801,C,900,memo_000801
802,item_000802,A,901,memo_000802
803,item_000803,B,902,memo_000803
804,item_000804,C,903,memo_000804
805,item_000805,A,904,memo_000805
806,item_000806,B,905,memo_000806
807,item_000807,C,906,memo_000807
808,item_000808,A,907,memo_000808
809,item_000809,B,908,memo_000809
810,item_000810,C,909,memo_000810
811,item_000811,A,910,memo_000811
812,item_000812,B,911,memo_000812
813,item_000813,C,912,memo_000813
814,item_000814,A,913,memo_000814
815,item_000815,B,914,memo_000815
816,item_000816,C,915,memo_000816
817,item_000817,A,916,memo_000817
818,item_000818,B,917,memo_000818
819,item_000819,C,918,memo_000819
820,item_000820,A,919,memo_000820
821,item_000821,B,920,memo_000821
822,item_000822,C,921,memo_000822
